"success","category","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","view_history","rt","ttype","responses","repeat_instructions","key_press","index","keypress_S2","block","trial_num","phase","pair_type","S1_stim","S2_stim","S1_img","S2_img","S1_chosen","S1_higher","accuracy","keypress_iti","keypress_isi","total_bonus_tally"
"","","","html-keyboard-response","179","62423","0.0-1.0-236.0","0","0","71923","","null","S1","","","null","26","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","180","62529","0.0-1.0-237.0","0","0","71923","","null","ISI","","","null","26","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","181","62784","0.0-1.0-238.0","0","0","71923","","null","S2","","","null","26","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","182","62975","0.0-1.0-239.0","0","0","71923","","190","response","","","75","26","","4","26","test","non_adjacent","7","2","L.jpg","R.jpg","1","0","0","","",""
"","","","html-keyboard-response","183","63079","0.0-1.0-240.0-0.0","0","0","71923","","null","feedback","","","null","26","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","184","63184","0.0-1.0-242.0-0.0","0","0","71923","","null","time_out","","","null","26","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","185","63690","0.0-1.0-243.0","0","0","71923","","45","ITI","","","75","26","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","186","63943","0.0-1.0-245.0","0","0","71923","","null","S1","","","null","27","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","187","64046","0.0-1.0-246.0","0","0","71923","","null","ISI","","","null","27","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","188","64299","0.0-1.0-247.0","0","0","71923","","null","S2","","","null","27","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","189","64310","0.0-1.0-248.0","0","0","71923","","11","response","","","75","27","","4","27","test","non_adjacent","6","2","N.jpg","R.jpg","1","0","0","","",""
"","","","html-keyboard-response","190","64413","0.0-1.0-249.0-0.0","0","0","71923","","null","feedback","","","null","27","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","191","64518","0.0-1.0-251.0-0.0","0","0","71923","","null","time_out","","","null","27","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","192","65020","0.0-1.0-252.0","0","0","71923","","40","ITI","","","75","27","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","193","65276","0.0-1.0-254.0","0","0","71923","","null","S1","","","null","28","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","194","65378","0.0-1.0-255.0","0","0","71923","","null","ISI","","","null","28","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","195","65631","0.0-1.0-256.0","0","0","71923","","179","S2","","","75","28","k","","","","","","","","","","","","","",""
"","","","html-keyboard-response","196","65936","0.0-1.0-257.0","0","0","71923","","303","response","","","75","28","","4","28","test","adjacent","2","1","R.jpg","M.jpg","1","0","0","","",""
"","","","html-keyboard-response","197","66040","0.0-1.0-258.0-0.0","0","0","71923","","null","feedback","","","null","28","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","198","66142","0.0-1.0-260.0-0.0","0","0","71923","","null","time_out","","","null","28","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","199","66645","0.0-1.0-261.0","0","0","71923","","224","ITI","","","75","28","","","","","","","","","","","","","k","",""
"","","","html-keyboard-response","200","66900","0.0-1.0-263.0","0","0","71923","","null","S1","","","null","29","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","201","67001","0.0-1.0-264.0","0","0","71923","","16","ISI","","","75","29","","","","","","","","","","","","","","k",""
"","","","html-keyboard-response","202","67256","0.0-1.0-265.0","0","0","71923","","null","S2","","","null","29","","","","","","","","","","","","","","",""
"","","","html-keyboard-response","203","67269","0.0-1.0-266.0","0","0","71923","","11","response","","","75","29","","4","29","test","non_adjacent","7","1","L.jpg","M.jpg","1","0","0","","",""
