trial,is_practice,block,is_old,pair_type,timing_jitter,timing_iti,within_category,high_cat_on_left,left_cat,right_cat,left_cat_value_group,right_cat_value_group,left_exemplar,right_exemplar,left_exemplar_value,right_exemplar_value,left_kind,right_kind,left_shape,right_shape,left_color,right_color,left_img_path,right_img_path,chosen_cat,unchosen_cat,chosen_value_group,unchosen_value_group,chosen_exemplar,unchosen_exemplar,chosen_exemplar_value,unchosen_exemplar_value
70,0,2,0,60-80,2500,2500,NaN,1,small table,lipstick,80,60,small table4,lipstick13,100,60,2,2.1,4.2,2.4,2.5,3.6,Stimuli/Experimental_stims/small table/ACOFTABLE.jpg,Stimuli/Experimental_stims/lipstick/P184708_hero.jpg,,,,,,,,
71,0,2,0,20-20,2500,2500,NaN,NaN,bowl,pen,20,20,bowl3,pen8,0,20,2.2,2.2,2.9,2,4.5,3.9,Stimuli/Experimental_stims/bowl/ABOWL8.jpg,Stimuli/Experimental_stims/pen/1383_1749_popup copy.jpg,,,,,,,,
72,0,2,0,40-40,2500,2500,NaN,NaN,tent,patio lounge chair,40,40,tent13,patio lounge chair14,60,60,2.2,2.2,2.8,2.9,4.5,4.3,Stimuli/Experimental_stims/tent/camping-tent-north-star.jpg,Stimuli/Experimental_stims/patio lounge chair/2987951.jpg,,,,,,,,
73,0,2,1,NaN,2500,2500,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
74,0,2,1,NaN,2500,2500,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
75,0,2,0,60-80,2500,2500,NaN,0,vase,hammer,60,80,vase13,hammer5,80,60,2.3,2,4,2.3,4.7,2.5,Stimuli/Experimental_stims/vase/designer-metal-vase.jpg,Stimuli/Experimental_stims/hammer/hammer02.jpg,,,,,,,,
76,0,2,0,40-80,2500,2500,NaN,1,train,hand bag,80,40,train10,hand bag13,100,40,2.1,2.3,4.1,3.9,4.5,4.5,Stimuli/Experimental_stims/train/train3.jpg,Stimuli/Experimental_stims/hand bag/Ahandbag69.jpg,,,,,,,,
77,0,2,0,20-60,2500,2500,NaN,1,door knob,frame,60,20,door knob13,frame11,80,40,2.1,2.2,4,3.4,2.9,2.6,Stimuli/Experimental_stims/door knob/500_CLAWALBC.jpg,Stimuli/Experimental_stims/frame/AFRAME139.jpg,,,,,,,,
78,0,2,0,60-60,2500,2500,NaN,NaN,lipstick,motorcycle,60,60,lipstick1,motorcycle6,80,40,2.1,2.1,2.4,2.9,3.6,3.6,Stimuli/Experimental_stims/lipstick/P170102_hero.jpg,Stimuli/Experimental_stims/motorcycle/motorcycle45364t4t.jpg,,,,,,,,
79,0,2,1,NaN,2500,2500,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,,,,
80,0,2,0,60-80,2500,2500,NaN,1,bike,fan,80,60,bike1,fan1,80,80,2.3,2.3,2.2,3.1,2.3,2,Stimuli/Experimental_stims/bike/the-go-bike.jpg,Stimuli/Experimental_stims/fan/01393.fpx.jpg,,,,,,,,
