"","PID","total_bonus_tally"
"1044081",85570,3.7
"1046491",85583,2.46
"1049049",85704,2.85
"1051557",85918,3.61
"1053999",85956,4.44
"1056430",86074,4.28
"1058900",86113,3.94
"1061462",86282,2.44
"1063917",86365,2.47
"1066401",86488,3.91
"1068981",86626,2.66
"1071570",86820,2.59
"1074090",86881,3.5
"1076714",87047,2.15
"1079272",87068,3.06
"1081862",87250,2.58
"1084286",87296,3.56
"1086523",87433,2.6
"1089009",87642,3.89
"1091441",87718,4.57
"1093715",87773,2.42
"1096208",88403,3.84
"1098606",88454,2.3
"1101122",88540,3.51
"1103567",88731,4.44
"1106121",88778,3.06
"1108558",89037,4.51
"1111043",89218,3.83
"1113555",89227,3.56
"1116029",89254,2.8
"1118513",89306,3.07
"1120935",89736,2.27
"1123448",89750,3.42
"1125897",89854,2.5
"1128431",90005,3.26
"1130652",90041,2.6
"1131589",90103,0.75
"1134051",90378,4.19
"1136543",90622,3.81
"1139059",90626,3.08
"1141520",90971,2.31
"1143990",91138,4.05
"1146489",91172,3.47
"1149025",91212,2.94
"1151550",91244,2.29
"1154006",91505,4.31
"1156468",91759,4.18
"1158983",92003,3.52
"1161430",92069,4.38
"1163934",92102,2.74
"1166457",92227,2.56
"1168927",92530,4.09
"1171498",92541,2.85
"1174091",92605,2.42
"1176612",92891,3.46
"1178875",93316,2.5
"1181426",93492,2.44
"1183931",93584,3.69
"1186395",93743,3.71
"1188923",93764,3.36
"1191412",93775,3.89
"1193978",93985,2.9
"1196510",94522,3.31
"1198962",94810,4.32
"1201420",94815,2.5
"1203972",94905,2.46
"1206427",94952,2.39
"1208943",94959,2.66
"1211189",95423,2.45
"1213736",95695,2.54
"1216046",95917,2.66
"1218526",96097,3.54
"1221018",96155,3.85
"1223648",96435,2.07
"1226149",96492,2.63
"1228622",96688,4.05
"1230858",96697,2.47
"1233182",96828,4.1
"1235649",96907,4.17
"1238135",96950,2.32
"1240597",97216,4.02
"1243164",97237,2.94
"1245744",97277,2.69
"1248265",97500,3.52
"1250535",97640,2.22
"1253146",97856,2.39
"1255612",98035,2.32
"1258198",98182,2.06
"1260768",98207,2.65
"1263329",98899,2.92
"1265845",99178,3.55
"1268354",99305,3.64
"1270800",99492,4.39
"1273379",99802,2.78
"1275819",99858,2.78
"1278366",99927,3.18
